label,horizon,vehicle,holder,n_train,rate_train,n_test,rate_test
schedule_slip_gt90,12,SOL|3600|797FSS000115R3,MKNJPM6CKSP9,53,0.49056603773584906,70,0.5
schedule_slip_gt90,12,SOL|3600|SPE2D115R0001,DJY8WLTGF577,37,0.32432432432432434,303,0.29042904290429045
schedule_slip_gt90,12,SOL|3600|VA11815R0558,D84JK2RNL7V4,18,0.8333333333333334,9,0.7777777777777778
schedule_slip_gt90,12,SOL|3600|VA11815R0558,GLGMWJ8EVMR9,24,0.625,9,0.7777777777777778
schedule_slip_gt90,12,SOL|3600|VA11815R0558,HH52KZGMV2Y6,9,0.5555555555555556,8,0.75
schedule_slip_gt90,12,SOL|3600|VA11815R0558,KHK6E1JW9C15,7,0.5714285714285714,7,1.0
schedule_slip_gt90,12,SOL|3600|VA11815R0558,L73LKJ1JCVM7,12,0.5833333333333334,4,1.0
schedule_slip_gt90,12,SOL|3600|VA11815R0558,LRN9VLLCX9Y8,6,0.5,8,1.0
schedule_slip_gt90,12,SOL|3600|VA11815R0558,NKKQE6FG4C28,4,0.75,6,0.6666666666666666
schedule_slip_gt90,12,SOL|3600|VA11815R0558,NYM8TAUFLXP3,6,0.5,3,0.6666666666666666
schedule_slip_gt90,12,SOL|3600|VA11815R0558,QNL4KMADTD36,16,0.625,6,0.3333333333333333
schedule_slip_gt90,12,SOL|3600|VA11815R0558,R4WTAS3E7BA4,21,0.6666666666666666,5,0.6
schedule_slip_gt90,12,SOL|3600|VA11815R0558,SVSAKVZJN1S7,12,0.5833333333333334,8,0.875
schedule_slip_gt90,12,SOL|3600|VA11815R0558,XDDKMXTVJSN8,5,0.6,4,1.0
schedule_slip_gt90,12,SOL|3600|VA25815R0002,CT93GMZBKE24,7,0.2857142857142857,6,0.3333333333333333
schedule_slip_gt90,12,SOL|4730|3FNJC1000001B,CHTAKEYGS386,56,0.125,11,0.36363636363636365
schedule_slip_gt90,12,SOL|4730|3FNJC1000001B,K8NNV2MH8AE6,14,0.7857142857142857,5,0.0
schedule_slip_gt90,12,SOL|4730|3FNJC1000001B,N7SFZMRQUPH9,20,0.5,5,0.4
schedule_slip_gt90,12,SOL|4730|3QSAJB100001B,DDJ2GKQM7M84,20,0.35,6,0.5
schedule_slip_gt90,12,SOL|4730|3QSAJB100001B,EJDQQK6CAHM7,8,0.0,4,0.5
schedule_slip_gt90,12,SOL|4730|47QSMD20R0001,MCQUYM6GHNJ5,18,0.16666666666666666,30,0.03333333333333333
schedule_slip_gt90,12,SOL|4730|47QSMD20R0001,WD8KKTRJWAZ3,44,0.09090909090909091,9,0.4444444444444444
